term,early,late,G2,signed_G2
appointed,0,5,3.12,3.12
harmony,0,5,3.12,3.12
inaction,0,5,3.12,3.12
decrease,0,5,3.12,3.12
23_,0,5,3.12,3.12
either,0,5,3.12,3.12
indicate,0,5,3.12,3.12
capable,0,5,3.12,3.12
live,0,5,3.12,3.12
knowledge,0,5,3.12,3.12
directive,0,5,3.12,3.12
mechanism,0,5,3.12,3.12
findings,0,5,3.12,3.12
assist,0,5,3.12,3.12
father_,2,17,3.08,3.08
children,39,144,2.92,2.92
attitude,2,16,2.68,2.68
effective,2,16,2.68,2.68
observes,1,11,2.61,2.61
place,1,11,2.61,2.61
question,1,11,2.61,2.61
authorities,9,42,2.36,2.36
mother_,2,15,2.3,2.3
identity,1,10,2.17,2.17
legal,1,10,2.17,2.17
family,16,64,1.99,1.99
prevent,2,14,1.94,1.94
negative,2,14,1.94,1.94
protection,4,22,1.93,1.93
although,1,9,1.74,1.74
cause,1,9,1.74,1.74
exercise,1,9,1.74,1.74
certain,1,9,1.74,1.74
never,1,9,1.74,1.74
process,1,9,1.74,1.74
allowed,2,13,1.59,1.59
nature,2,13,1.59,1.59
order,7,31,1.46,1.46
children_,6,27,1.35,1.35
support,1,8,1.34,1.34
conclusion,1,8,1.34,1.34
remedy,1,8,1.34,1.34
parents_,1,8,1.34,1.34
pointed,1,8,1.34,1.34
taking,1,8,1.34,1.34
school,1,8,1.34,1.34
situation,3,16,1.3,1.3
judgment,3,16,1.3,1.3
psychologist,3,16,1.3,1.3
parental,24,83,1.07,1.07
parent,12,45,1.0,1.0
able,1,7,0.97,0.97
judicial,1,7,0.97,0.97
statements,1,7,0.97,0.97
refusal,1,7,0.97,0.97
human,1,7,0.97,0.97
essence,1,7,0.97,0.97
assistance,1,7,0.97,0.97
whole,1,7,0.97,0.97
cited,2,11,0.96,0.96
contrary,2,11,0.96,0.96
despite,2,11,0.96,0.96
considered,6,25,0.93,0.93
life,4,18,0.9,0.9
investigation,3,14,0.79,0.79
conflict,3,14,0.79,0.79
specific,2,10,0.69,0.69
establish,2,10,0.69,0.69
her_,2,10,0.69,0.69
particular,2,10,0.69,0.69
police,2,10,0.69,0.69
example_,2,10,0.69,0.69
sexual,2,10,0.69,0.69
him_,2,10,0.69,0.69
impossible,1,6,0.63,0.63
violation,1,6,0.63,0.63
namely,1,6,0.63,0.63
views,1,6,0.63,0.63
mental,1,6,0.63,0.63
likely,1,6,0.63,0.63
rather,1,6,0.63,0.63
december,1,6,0.63,0.63
individual,1,6,0.63,0.63
believed,1,6,0.63,0.63
october,1,6,0.63,0.63
september,1,6,0.63,0.63
hearing,1,6,0.63,0.63
responsible,1,6,0.63,0.63
medical,1,6,0.63,0.63
lastly_,1,6,0.63,0.63
counselling,1,6,0.63,0.63
set,1,6,0.63,0.63
young,1,6,0.63,0.63
arguments,1,6,0.63,0.63
living,1,6,0.63,0.63
already,1,6,0.63,0.63
separation,1,6,0.63,0.63
loyalty,1,6,0.63,0.63
february,1,6,0.63,0.63
relevant,3,13,0.57,0.57
father,26,84,0.57,0.57
state,4,16,0.5,0.5
role,4,16,0.5,0.5
security,2,9,0.45,0.45
therefore_,2,9,0.45,0.45
decision,6,22,0.43,0.43
fact,6,22,0.43,0.43
health,3,12,0.37,0.37
thus,3,12,0.37,0.37
best,3,12,0.37,0.37
take,3,12,0.37,0.37
harmful,1,5,0.34,0.34
tried,1,5,0.34,0.34
fundamental,1,5,0.34,0.34
indicated,1,5,0.34,0.34
event,1,5,0.34,0.34
efforts,1,5,0.34,0.34
appear,1,5,0.34,0.34
non,1,5,0.34,0.34
excluded,1,5,0.34,0.34
procedural,1,5,0.34,0.34
themselves,1,5,0.34,0.34
information,1,5,0.34,0.34
duration,1,5,0.34,0.34
otherwise,1,5,0.34,0.34
procedure,1,5,0.34,0.34
itself,1,5,0.34,0.34
term,1,5,0.34,0.34
needed,1,5,0.34,0.34
noted,5,18,0.31,0.31
manner,2,8,0.25,0.25
principle,2,8,0.25,0.25
proceedings_,2,8,0.25,0.25
severe,2,8,0.25,0.25
required,2,8,0.25,0.25
another,2,8,0.25,0.25
based,2,8,0.25,0.25
credibility,2,8,0.25,0.25
june,2,8,0.25,0.25
authority,3,11,0.21,0.21
concluded,3,11,0.21,0.21
seriously,3,11,0.21,0.21
stated,5,17,0.19,0.19
provided,1,4,0.12,0.12
held,1,4,0.12,0.12
matter,1,4,0.12,0.12
early,1,4,0.12,0.12
examined,1,4,0.12,0.12
injuries,1,4,0.12,0.12
importance,1,4,0.12,0.12
crucial,1,4,0.12,0.12
articles,1,4,0.12,0.12
merely,1,4,0.12,0.12
opinion_,1,4,0.12,0.12
guardian,1,4,0.12,0.12
absence,1,4,0.12,0.12
develop,1,4,0.12,0.12
manner_,1,4,0.12,0.12
year,1,4,0.12,0.12
existed,1,4,0.12,0.12
much,1,4,0.12,0.12
complaint,1,4,0.12,0.12
distress,1,4,0.12,0.12
deficiency,1,4,0.12,0.12
make,1,4,0.12,0.12
april,1,4,0.12,0.12
said,1,4,0.12,0.12
longer,1,4,0.12,0.12
relied,1,4,0.12,0.12
inappropriate,1,4,0.12,0.12
child,71,203,0.1,0.1
protect,2,7,0.1,0.1
possible,2,7,0.1,0.1
positive,2,7,0.1,0.1
given,5,16,0.1,0.1
international,2,7,0.1,0.1
resulting,2,7,0.1,0.1
residence,2,7,0.1,0.1
court_,2,7,0.1,0.1
that_,4,13,0.09,0.09
alleged,3,10,0.09,0.09
making,4,13,0.09,0.09
whether,4,13,0.09,0.09
used,3,10,0.09,0.09
established,3,10,0.09,0.09
lack,3,10,0.09,0.09
therefore,6,18,0.04,0.04
son,5,15,0.03,0.03
above_,4,12,0.03,0.03
regard,3,9,0.02,0.02
position,3,9,0.02,0.02
august,3,9,0.02,0.02
finding,3,9,0.02,0.02
national,3,9,0.02,0.02
third,3,9,0.02,0.02
caused,3,9,0.02,0.02
rule,2,6,0.01,0.01
affected,2,6,0.01,0.01
argument,2,6,0.01,0.01
opposed,2,6,0.01,0.01
states,2,6,0.01,0.01
see_,2,6,0.01,0.01
courts,8,23,0.01,0.01
since,7,20,0.01,0.01
submitted,7,19,0.0,-0.0
decisions,3,8,0.0,-0.0
july,3,8,0.0,-0.0
however_,4,11,0.0,0.0
form,4,11,0.0,0.0
respondent,3,8,0.0,-0.0
age,2,5,0.01,-0.01
acts,2,5,0.01,-0.01
convinced,2,5,0.01,-0.01
particularly,2,5,0.01,-0.01
insufficient,2,5,0.01,-0.01
turn,2,5,0.01,-0.01
supreme,2,5,0.01,-0.01
avoid,2,5,0.01,-0.01
necessary,2,5,0.01,-0.01
therapy,2,5,0.01,-0.01
dignity,2,5,0.01,-0.01
view_,4,10,0.02,-0.02
expert,7,18,0.02,-0.02
new,3,7,0.05,-0.05
relationship,8,20,0.05,-0.05
abuse,8,20,0.05,-0.05
applicant_,8,20,0.05,-0.05
november,3,7,0.05,-0.05
passage,3,7,0.05,-0.05
application,5,12,0.06,-0.06
biological,6,14,0.1,-0.1
and_,4,9,0.1,-0.1
attempts,4,9,0.1,-0.1
resulted,6,14,0.1,-0.1
result,8,19,0.11,-0.11
interests,8,19,0.11,-0.11
issue,2,4,0.13,-0.13
forensic,2,4,0.13,-0.13
conditions,2,4,0.13,-0.13
requirement,2,4,0.13,-0.13
various,2,4,0.13,-0.13
treatment,2,4,0.13,-0.13
instant,2,4,0.13,-0.13
basis,2,4,0.13,-0.13
hand_,2,4,0.13,-0.13
vis,2,4,0.13,-0.13
adequate,2,4,0.13,-0.13
indication,2,4,0.13,-0.13
unable,2,4,0.13,-0.13
contrary_,2,4,0.13,-0.13
social,7,16,0.15,-0.15
foster,5,11,0.16,-0.16
situation_,3,6,0.19,-0.19
visits,3,6,0.19,-0.19
grounds,3,6,0.19,-0.19
extent,3,6,0.19,-0.19
complete,3,6,0.19,-0.19
excessive,3,6,0.19,-0.19
possibility,3,6,0.19,-0.19
cannot,3,6,0.19,-0.19
failed,6,13,0.22,-0.22
persons,4,8,0.25,-0.25
case_,4,8,0.25,-0.25
moreover_,5,10,0.31,-0.31
lead,5,10,0.31,-0.31
evidence,5,10,0.31,-0.31
led,5,10,0.31,-0.31
time,12,27,0.31,-0.31
child_,6,12,0.38,-0.38
having,9,19,0.4,-0.4
aim,2,3,0.41,-0.41
attempted,2,3,0.41,-0.41
proposed,2,3,0.41,-0.41
purpose,2,3,0.41,-0.41
aware,2,3,0.41,-0.41
reply,2,3,0.41,-0.41
continue,2,3,0.41,-0.41
consider,2,3,0.41,-0.41
became,2,3,0.41,-0.41
preventing,2,3,0.41,-0.41
main,2,3,0.41,-0.41
deal,2,3,0.41,-0.41
until,2,3,0.41,-0.41
which_,2,3,0.41,-0.41
office,2,3,0.41,-0.41
husband,2,3,0.41,-0.41
future,2,3,0.41,-0.41
four,2,3,0.41,-0.41
fear,2,3,0.41,-0.41
several,2,3,0.41,-0.41
expulsion,2,3,0.41,-0.41
unlike,2,3,0.41,-0.41
measure,2,3,0.41,-0.41
expressed,2,3,0.41,-0.41
birth,2,3,0.41,-0.41
inevitably,2,3,0.41,-0.41
inter,2,3,0.41,-0.41
concerned,2,3,0.41,-0.41
origin,2,3,0.41,-0.41
minor,2,3,0.41,-0.41
relations,3,5,0.44,-0.44
rejected,3,5,0.44,-0.44
way,4,7,0.48,-0.48
considers,4,7,0.48,-0.48
services,4,7,0.48,-0.48
orders,4,7,0.48,-0.48
particular_,4,7,0.48,-0.48
serious,4,7,0.48,-0.48
reports,4,7,0.48,-0.48
parents,22,50,0.51,-0.51
complained,5,9,0.54,-0.54
made,5,9,0.54,-0.54
hague,6,11,0.59,-0.59
second,7,13,0.65,-0.65
notes,4,6,0.82,-0.82
meetings,4,6,0.82,-0.82
pressure,3,4,0.84,-0.84
difficult,3,4,0.84,-0.84
stability,3,4,0.84,-0.84
period,5,8,0.84,-0.84
difficulties,3,4,0.84,-0.84
syndrome_,5,8,0.84,-0.84
easily,3,4,0.84,-0.84
allowing,3,4,0.84,-0.84
initial,3,4,0.84,-0.84
part,6,10,0.88,-0.88
while,6,10,0.88,-0.88
influence,6,10,0.88,-0.88
proceedings,22,46,1.04,-1.04
ability,6,9,1.23,-1.23
return,6,9,1.23,-1.23
district,6,9,1.23,-1.23
criminal,6,9,1.23,-1.23
wishes,6,9,1.23,-1.23
long,5,7,1.24,-1.24
thereby,5,7,1.24,-1.24
furthermore_,5,7,1.24,-1.24
well,8,13,1.28,-1.28
complaints,4,5,1.29,-1.29
interest,4,5,1.29,-1.29
following,4,5,1.29,-1.29
home,4,5,1.29,-1.29
respect,9,15,1.31,-1.31
wrong,3,3,1.46,-1.46
address,3,3,1.46,-1.46
left,3,3,1.46,-1.46
rights_,3,3,1.46,-1.46
sought,3,3,1.46,-1.46
implementation,3,3,1.46,-1.46
natural,3,3,1.46,-1.46
requested,3,3,1.46,-1.46
light,3,3,1.46,-1.46
report,13,23,1.5,-1.5
rights,15,27,1.61,-1.61
act,8,12,1.64,-1.64
one,9,14,1.66,-1.66
length,6,8,1.68,-1.68
welfare,5,6,1.76,-1.76
years,5,6,1.76,-1.76
reason,4,4,1.95,-1.95
assessment,4,4,1.95,-1.95
contacts,4,4,1.95,-1.95
effect,4,4,1.95,-1.95
found,10,15,2.05,-2.05
custody,12,19,2.09,-2.09
contributed,7,9,2.13,-2.13
opinion,6,7,2.23,-2.23
divorce,3,2,2.42,-2.42
march,3,2,2.42,-2.42
time_,3,2,2.42,-2.42
obtain,3,2,2.42,-2.42
shown,3,2,2.42,-2.42
impact,3,2,2.42,-2.42
abused,3,2,2.42,-2.42
former,3,2,2.42,-2.42
accept,3,2,2.42,-2.42
clear,5,5,2.43,-2.43
restrictions,5,5,2.43,-2.43
daughter,12,18,2.46,-2.46
system,7,8,2.71,-2.71
continued,4,3,2.85,-2.85
plan,4,3,2.85,-2.85
use,4,3,2.85,-2.85
effectively,4,3,2.85,-2.85
reasons,4,3,2.85,-2.85
prevented,4,3,2.85,-2.85
claimed,4,3,2.85,-2.85
course,4,3,2.85,-2.85
within,6,6,2.92,-2.92
failure,9,11,3.05,-3.05
suffered,9,11,3.05,-3.05
mother,50,100,3.15,-3.15
enforce,5,4,3.31,-3.31
him,37,69,3.38,-3.38
law,11,14,3.42,-3.42
according,10,12,3.52,-3.52
practice,6,5,3.77,-3.77
suffering,6,5,3.77,-3.77
conduct,4,2,4.15,-4.15
influenced,4,2,4.15,-4.15
strong,4,2,4.15,-4.15
adoption,4,2,4.15,-4.15
care,7,6,4.24,-4.24
find,5,3,4.46,-4.46
allegations,6,4,4.85,-4.85
person,6,4,4.85,-4.85
become,11,11,5.35,-5.35
daughter_,5,2,6.05,-6.05
great,5,2,6.05,-6.05
completely,9,7,6.15,-6.15
allegation,4,1,6.16,-6.16
harassment,4,1,6.16,-6.16
image,4,1,6.16,-6.16
presence,4,1,6.16,-6.16
opportunity,4,1,6.16,-6.16
consequence,4,1,6.16,-6.16
wanted,4,1,6.16,-6.16
properly,4,1,6.16,-6.16
free,4,1,6.16,-6.16
justify,4,1,6.16,-6.16
regards,4,1,6.16,-6.16
opposition,4,1,6.16,-6.16
probably,4,1,6.16,-6.16
pas,6,3,6.23,-6.23
confidence,8,5,6.88,-6.88
two,11,9,7.08,-7.08
board,6,2,8.06,-8.06
judge,6,2,8.06,-8.06
public,11,8,8.11,-8.11
placement,8,4,8.3,-8.3
immigration,5,1,8.4,-8.4
addressed,5,1,8.4,-8.4
even,12,9,8.55,-8.55
appeal,9,5,8.59,-8.59
consequences,8,3,10.06,-10.06
maintained,7,2,10.16,-10.16
called,7,2,10.16,-10.16
access,13,8,11.34,-11.34
syndrome,21,18,12.73,-12.73
prisoners,5,0,13.18,-13.18
visiting,5,0,13.18,-13.18
israel,5,0,13.18,-13.18
view,15,9,13.39,-13.39
repeated,6,0,15.81,-15.81
wife,20,4,33.58,-33.58
