question,bucket,lang,gold_route
Welcher Staat hat die meisten Verurteilungen?,2,de,aggregate
Wie hat sich die Zahl der Kontaktrechtsfälle über die Jahre entwickelt?,2,de,aggregate
Wie viele Urteile ergingen nach 2020?,2,de,aggregate
Wieviel Prozent der Fälle wurden für unzulässig erklärt?,2,de,aggregate
Aus welchem Kanton stammen die meisten Schweizer Entscheidungen?,2,de,aggregate
Wie ist die Gesamtzahl der anhängigen Verfahren?,2,de,aggregate
How many cases involve an allegation of parental alienation?,3,en,aggregate
In what proportion of cases did the mother receive custody?,3,en,aggregate
How often do courts order supervised contact?,3,en,aggregate
How many children refused contact with their father across the corpus?,3,en,aggregate
What percentage of cases mention a psychological expert report?,3,en,aggregate
Do married parents win contact disputes more often than unmarried ones?,3,en,aggregate
How many cases involve grandparents seeking contact?,3,en,aggregate
What share of alienation allegations were upheld by the court?,3,en,aggregate
"On average, how many years do contact-enforcement proceedings last?",3,en,aggregate
"In most cases, which parent is found responsible for the alienation?",3,en,aggregate
Wie viele Kinder leben nach der Entscheidung bei der Mutter?,3,de,aggregate
Wie häufig wird ein begleiteter Kontakt angeordnet?,3,de,aggregate
In welchem Anteil der Fälle wurde die Entfremdung vom Gericht festgestellt?,3,de,aggregate
Wie oft folgen die Gerichte dem Sachverständigengutachten?,3,de,aggregate
Wie viele Fälle betreffen Großeltern als Kontaktwerber?,3,de,aggregate
Bekommen verheiratete Eltern in der Regel eher das Sorgerecht?,3,de,aggregate
Wie viele Verfahren dauerten länger als fünf Jahre?,3,de,aggregate
Welcher Elternteil wird in den meisten Fällen für die Entfremdung verantwortlich gemacht?,3,de,aggregate
Wie hoch ist die durchschnittliche Verfahrensdauer in Kontaktrechtsfällen?,3,de,aggregate
Wie oft wird das Kindeswohl als Hauptgrund für die Kontaktverweigerung genannt?,3,de,aggregate
How has the wording around parental alienation changed between 2000 and 2020?,4,en,diachronic
What changed in how judgments describe custody between 2005 and 2018?,4,en,diachronic
How did the vocabulary of contact enforcement shift over time?,4,en,diachronic
Has the language used about a child's wishes evolved since 2010?,4,en,diachronic
What is different in alienation judgments before 2012 and after 2013?,4,en,diachronic
How has the framing of the child's best interests developed over time?,4,en,diachronic
Compare the vocabulary of contact cases in 2000-2012 with 2013-2025.,4,en,diachronic
Did the way the Court words coercive measures change after 2010?,4,en,diachronic
Which terms around reunification became more common after 2015?,4,en,diachronic
In what ways does the language of expert evidence differ between the early and the late judgments?,4,en,diachronic
Wie hat sich die Formulierung zur Entfremdung in den EGMR-Urteilen zwischen 2000 und 2020 verändert?,4,de,diachronic
Wie hat sich der Sprachgebrauch zum Kontaktrecht im Laufe der Zeit gewandelt?,4,de,diachronic
Was hat sich in der Wortwahl zum Kindeswohl nach 2013 geändert?,4,de,diachronic
Wie unterscheidet sich die Sprache der Urteile vor 2012 von jener nach 2013?,4,de,diachronic
Hat sich die Begründung von Vollzugsmaßnahmen seit 2010 verändert?,4,de,diachronic
Wie hat sich die Darstellung des Loyalitätskonflikts zwischen 2000 und 2025 entwickelt?,4,de,diachronic
Vergleiche die Wortwahl in Kontaktrechtsfällen 2000-2012 mit 2013-2025.,4,de,diachronic
Welche Begriffe wurden nach 2015 in Obsorgeentscheidungen häufiger verwendet?,4,de,diachronic
Wie hat sich die Sprache des OGH zur Entfremdung seit 2005 verändert?,4,de,diachronic
Wie hat sich die Formulierung in Schweizer Entscheiden seit 2010 verändert?,4,de,diachronic
